AUTH_METHOD;TIMESTAMP;ACCOUNT_UID;ACCOUNT_NAME;ACCOUNT_EMAIL;ACCOUNT_ORGANIZATION_UID;ACCOUNT_ORGANIZATION_NAME;ACCOUNT_TAGS;FINDING_UID;PROVIDER;CHECK_ID;CHECK_TITLE;CHECK_TYPE;STATUS;STATUS_EXTENDED;MUTED;SERVICE_NAME;SUBSERVICE_NAME;SEVERITY;RESOURCE_TYPE;RESOURCE_UID;RESOURCE_NAME;RESOURCE_DETAILS;RESOURCE_TAGS;PARTITION;REGION;DESCRIPTION;RISK;RELATED_URL;REMEDIATION_RECOMMENDATION_TEXT;REMEDIATION_RECOMMENDATION_URL;REMEDIATION_CODE_NATIVEIAC;REMEDIATION_CODE_TERRAFORM;REMEDIATION_CODE_CLI;REMEDIATION_CODE_OTHER;COMPLIANCE;CATEGORIES;DEPENDS_ON;RELATED_TO;NOTES;PROWLER_VERSION;ADDITIONAL_URLS;ACCOUNT_OU_UID;ACCOUNT_OU_NAME
profile: None;2026-09-05 17:57:02.969483;227842501528;;;;;;prowler-aws-ec2_ami_account_block_public_access-227842501528-ap-northeast-1-227842501528;aws;ec2_ami_account_block_public_access;AMI block public access is enabled at the account level;Software and Configuration Checks/AWS Security Best Practices | Effects/Data Exposure;PASS;AMI Block Public Access is enabled in ap-northeast-1.;False;ec2;;medium;Other;arn:aws:ec2:eu-north-1:227842501528:account;227842501528;;;aws;ap-northeast-1;AMI block public access configuration is assessed to see whether public sharing of AMIs is blocked in the account and Region. When enabled (`block-new-sharing`), no AMI in the Region can be made public regardless of individual image permissions.;Without blocking public access, AMIs could be accidentally or maliciously shared publicly, exposing baked-in secrets, source code, and infrastructure details to unauthorized actors.;;Enable AMI block public access (`block-new-sharing`) in every active Region. Apply guardrails (SCPs) to prevent it from being disabled, and review any AMIs that are currently shared publicly.;https://hub.prowler.com/check/ec2_ami_account_block_public_access;;"```hcl
resource ""aws_ec2_image_block_public_access"" ""<example_resource_name>"" {
  state = ""block-new-sharing"" # Blocks new public sharing of AMIs in the configured Region
}
```";aws ec2 enable-image-block-public-access --image-block-public-access-state block-new-sharing;"1. In the AWS console, select the target Region in the top-right.
2. Go to EC2 > AMIs.
3. In the AMIs page, choose Block public access for AMIs (or EC2 Dashboard > Account attributes > Data protection and security).
4. Choose Manage and enable Block public access.
5. Save changes.";;internet-exposed;;;;5.41.0;https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/sharingamis-intro.html | https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/image-block-public-access.html;;
profile: None;2026-09-05 17:57:02.969483;227842501528;;;;;;prowler-aws-ec2_ami_account_block_public_access-227842501528-ap-northeast-2-227842501528;aws;ec2_ami_account_block_public_access;AMI block public access is enabled at the account level;Software and Configuration Checks/AWS Security Best Practices | Effects/Data Exposure;PASS;AMI Block Public Access is enabled in ap-northeast-2.;False;ec2;;medium;Other;arn:aws:ec2:eu-north-1:227842501528:account;227842501528;;;aws;ap-northeast-2;AMI block public access configuration is assessed to see whether public sharing of AMIs is blocked in the account and Region. When enabled (`block-new-sharing`), no AMI in the Region can be made public regardless of individual image permissions.;Without blocking public access, AMIs could be accidentally or maliciously shared publicly, exposing baked-in secrets, source code, and infrastructure details to unauthorized actors.;;Enable AMI block public access (`block-new-sharing`) in every active Region. Apply guardrails (SCPs) to prevent it from being disabled, and review any AMIs that are currently shared publicly.;https://hub.prowler.com/check/ec2_ami_account_block_public_access;;"```hcl
resource ""aws_ec2_image_block_public_access"" ""<example_resource_name>"" {
  state = ""block-new-sharing"" # Blocks new public sharing of AMIs in the configured Region
}
```";aws ec2 enable-image-block-public-access --image-block-public-access-state block-new-sharing;"1. In the AWS console, select the target Region in the top-right.
2. Go to EC2 > AMIs.
3. In the AMIs page, choose Block public access for AMIs (or EC2 Dashboard > Account attributes > Data protection and security).
4. Choose Manage and enable Block public access.
5. Save changes.";;internet-exposed;;;;5.41.0;https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/sharingamis-intro.html | https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/image-block-public-access.html;;
profile: None;2026-09-05 17:57:02.969483;227842501528;;;;;;prowler-aws-ec2_ami_account_block_public_access-227842501528-ap-northeast-3-227842501528;aws;ec2_ami_account_block_public_access;AMI block public access is enabled at the account level;Software and Configuration Checks/AWS Security Best Practices | Effects/Data Exposure;PASS;AMI Block Public Access is enabled in ap-northeast-3.;False;ec2;;medium;Other;arn:aws:ec2:eu-north-1:227842501528:account;227842501528;;;aws;ap-northeast-3;AMI block public access configuration is assessed to see whether public sharing of AMIs is blocked in the account and Region. When enabled (`block-new-sharing`), no AMI in the Region can be made public regardless of individual image permissions.;Without blocking public access, AMIs could be accidentally or maliciously shared publicly, exposing baked-in secrets, source code, and infrastructure details to unauthorized actors.;;Enable AMI block public access (`block-new-sharing`) in every active Region. Apply guardrails (SCPs) to prevent it from being disabled, and review any AMIs that are currently shared publicly.;https://hub.prowler.com/check/ec2_ami_account_block_public_access;;"```hcl
resource ""aws_ec2_image_block_public_access"" ""<example_resource_name>"" {
  state = ""block-new-sharing"" # Blocks new public sharing of AMIs in the configured Region
}
```";aws ec2 enable-image-block-public-access --image-block-public-access-state block-new-sharing;"1. In the AWS console, select the target Region in the top-right.
2. Go to EC2 > AMIs.
3. In the AMIs page, choose Block public access for AMIs (or EC2 Dashboard > Account attributes > Data protection and security).
4. Choose Manage and enable Block public access.
5. Save changes.";;internet-exposed;;;;5.41.0;https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/sharingamis-intro.html | https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/image-block-public-access.html;;
profile: None;2026-09-05 17:57:02.969483;227842501528;;;;;;prowler-aws-ec2_ami_account_block_public_access-227842501528-ap-south-1-227842501528;aws;ec2_ami_account_block_public_access;AMI block public access is enabled at the account level;Software and Configuration Checks/AWS Security Best Practices | Effects/Data Exposure;PASS;AMI Block Public Access is enabled in ap-south-1.;False;ec2;;medium;Other;arn:aws:ec2:eu-north-1:227842501528:account;227842501528;;;aws;ap-south-1;AMI block public access configuration is assessed to see whether public sharing of AMIs is blocked in the account and Region. When enabled (`block-new-sharing`), no AMI in the Region can be made public regardless of individual image permissions.;Without blocking public access, AMIs could be accidentally or maliciously shared publicly, exposing baked-in secrets, source code, and infrastructure details to unauthorized actors.;;Enable AMI block public access (`block-new-sharing`) in every active Region. Apply guardrails (SCPs) to prevent it from being disabled, and review any AMIs that are currently shared publicly.;https://hub.prowler.com/check/ec2_ami_account_block_public_access;;"```hcl
resource ""aws_ec2_image_block_public_access"" ""<example_resource_name>"" {
  state = ""block-new-sharing"" # Blocks new public sharing of AMIs in the configured Region
}
```";aws ec2 enable-image-block-public-access --image-block-public-access-state block-new-sharing;"1. In the AWS console, select the target Region in the top-right.
2. Go to EC2 > AMIs.
3. In the AMIs page, choose Block public access for AMIs (or EC2 Dashboard > Account attributes > Data protection and security).
4. Choose Manage and enable Block public access.
5. Save changes.";;internet-exposed;;;;5.41.0;https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/sharingamis-intro.html | https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/image-block-public-access.html;;
profile: None;2026-09-05 17:57:02.969483;227842501528;;;;;;prowler-aws-ec2_ami_account_block_public_access-227842501528-ap-south-2-227842501528;aws;ec2_ami_account_block_public_access;AMI block public access is enabled at the account level;Software and Configuration Checks/AWS Security Best Practices | Effects/Data Exposure;PASS;AMI Block Public Access is enabled in ap-south-2.;False;ec2;;medium;Other;arn:aws:ec2:eu-north-1:227842501528:account;227842501528;;;aws;ap-south-2;AMI block public access configuration is assessed to see whether public sharing of AMIs is blocked in the account and Region. When enabled (`block-new-sharing`), no AMI in the Region can be made public regardless of individual image permissions.;Without blocking public access, AMIs could be accidentally or maliciously shared publicly, exposing baked-in secrets, source code, and infrastructure details to unauthorized actors.;;Enable AMI block public access (`block-new-sharing`) in every active Region. Apply guardrails (SCPs) to prevent it from being disabled, and review any AMIs that are currently shared publicly.;https://hub.prowler.com/check/ec2_ami_account_block_public_access;;"```hcl
resource ""aws_ec2_image_block_public_access"" ""<example_resource_name>"" {
  state = ""block-new-sharing"" # Blocks new public sharing of AMIs in the configured Region
}
```";aws ec2 enable-image-block-public-access --image-block-public-access-state block-new-sharing;"1. In the AWS console, select the target Region in the top-right.
2. Go to EC2 > AMIs.
3. In the AMIs page, choose Block public access for AMIs (or EC2 Dashboard > Account attributes > Data protection and security).
4. Choose Manage and enable Block public access.
5. Save changes.";;internet-exposed;;;;5.41.0;https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/sharingamis-intro.html | https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/image-block-public-access.html;;
profile: None;2026-09-05 17:57:02.969483;227842501528;;;;;;prowler-aws-ec2_ami_account_block_public_access-227842501528-ap-southeast-1-227842501528;aws;ec2_ami_account_block_public_access;AMI block public access is enabled at the account level;Software and Configuration Checks/AWS Security Best Practices | Effects/Data Exposure;PASS;AMI Block Public Access is enabled in ap-southeast-1.;False;ec2;;medium;Other;arn:aws:ec2:eu-north-1:227842501528:account;227842501528;;;aws;ap-southeast-1;AMI block public access configuration is assessed to see whether public sharing of AMIs is blocked in the account and Region. When enabled (`block-new-sharing`), no AMI in the Region can be made public regardless of individual image permissions.;Without blocking public access, AMIs could be accidentally or maliciously shared publicly, exposing baked-in secrets, source code, and infrastructure details to unauthorized actors.;;Enable AMI block public access (`block-new-sharing`) in every active Region. Apply guardrails (SCPs) to prevent it from being disabled, and review any AMIs that are currently shared publicly.;https://hub.prowler.com/check/ec2_ami_account_block_public_access;;"```hcl
resource ""aws_ec2_image_block_public_access"" ""<example_resource_name>"" {
  state = ""block-new-sharing"" # Blocks new public sharing of AMIs in the configured Region
}
```";aws ec2 enable-image-block-public-access --image-block-public-access-state block-new-sharing;"1. In the AWS console, select the target Region in the top-right.
2. Go to EC2 > AMIs.
3. In the AMIs page, choose Block public access for AMIs (or EC2 Dashboard > Account attributes > Data protection and security).
4. Choose Manage and enable Block public access.
5. Save changes.";;internet-exposed;;;;5.41.0;https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/sharingamis-intro.html | https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/image-block-public-access.html;;
profile: None;2026-09-05 17:57:02.969483;227842501528;;;;;;prowler-aws-ec2_ami_account_block_public_access-227842501528-ap-southeast-2-227842501528;aws;ec2_ami_account_block_public_access;AMI block public access is enabled at the account level;Software and Configuration Checks/AWS Security Best Practices | Effects/Data Exposure;PASS;AMI Block Public Access is enabled in ap-southeast-2.;False;ec2;;medium;Other;arn:aws:ec2:eu-north-1:227842501528:account;227842501528;;;aws;ap-southeast-2;AMI block public access configuration is assessed to see whether public sharing of AMIs is blocked in the account and Region. When enabled (`block-new-sharing`), no AMI in the Region can be made public regardless of individual image permissions.;Without blocking public access, AMIs could be accidentally or maliciously shared publicly, exposing baked-in secrets, source code, and infrastructure details to unauthorized actors.;;Enable AMI block public access (`block-new-sharing`) in every active Region. Apply guardrails (SCPs) to prevent it from being disabled, and review any AMIs that are currently shared publicly.;https://hub.prowler.com/check/ec2_ami_account_block_public_access;;"```hcl
resource ""aws_ec2_image_block_public_access"" ""<example_resource_name>"" {
  state = ""block-new-sharing"" # Blocks new public sharing of AMIs in the configured Region
}
```";aws ec2 enable-image-block-public-access --image-block-public-access-state block-new-sharing;"1. In the AWS console, select the target Region in the top-right.
2. Go to EC2 > AMIs.
3. In the AMIs page, choose Block public access for AMIs (or EC2 Dashboard > Account attributes > Data protection and security).
4. Choose Manage and enable Block public access.
5. Save changes.";;internet-exposed;;;;5.41.0;https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/sharingamis-intro.html | https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/image-block-public-access.html;;
profile: None;2026-09-05 17:57:02.969483;227842501528;;;;;;prowler-aws-ec2_ami_account_block_public_access-227842501528-ca-central-1-227842501528;aws;ec2_ami_account_block_public_access;AMI block public access is enabled at the account level;Software and Configuration Checks/AWS Security Best Practices | Effects/Data Exposure;PASS;AMI Block Public Access is enabled in ca-central-1.;False;ec2;;medium;Other;arn:aws:ec2:eu-north-1:227842501528:account;227842501528;;;aws;ca-central-1;AMI block public access configuration is assessed to see whether public sharing of AMIs is blocked in the account and Region. When enabled (`block-new-sharing`), no AMI in the Region can be made public regardless of individual image permissions.;Without blocking public access, AMIs could be accidentally or maliciously shared publicly, exposing baked-in secrets, source code, and infrastructure details to unauthorized actors.;;Enable AMI block public access (`block-new-sharing`) in every active Region. Apply guardrails (SCPs) to prevent it from being disabled, and review any AMIs that are currently shared publicly.;https://hub.prowler.com/check/ec2_ami_account_block_public_access;;"```hcl
resource ""aws_ec2_image_block_public_access"" ""<example_resource_name>"" {
  state = ""block-new-sharing"" # Blocks new public sharing of AMIs in the configured Region
}
```";aws ec2 enable-image-block-public-access --image-block-public-access-state block-new-sharing;"1. In the AWS console, select the target Region in the top-right.
2. Go to EC2 > AMIs.
3. In the AMIs page, choose Block public access for AMIs (or EC2 Dashboard > Account attributes > Data protection and security).
4. Choose Manage and enable Block public access.
5. Save changes.";;internet-exposed;;;;5.41.0;https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/sharingamis-intro.html | https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/image-block-public-access.html;;
profile: None;2026-09-05 17:57:02.969483;227842501528;;;;;;prowler-aws-ec2_ami_account_block_public_access-227842501528-eu-central-1-227842501528;aws;ec2_ami_account_block_public_access;AMI block public access is enabled at the account level;Software and Configuration Checks/AWS Security Best Practices | Effects/Data Exposure;PASS;AMI Block Public Access is enabled in eu-central-1.;False;ec2;;medium;Other;arn:aws:ec2:eu-north-1:227842501528:account;227842501528;;;aws;eu-central-1;AMI block public access configuration is assessed to see whether public sharing of AMIs is blocked in the account and Region. When enabled (`block-new-sharing`), no AMI in the Region can be made public regardless of individual image permissions.;Without blocking public access, AMIs could be accidentally or maliciously shared publicly, exposing baked-in secrets, source code, and infrastructure details to unauthorized actors.;;Enable AMI block public access (`block-new-sharing`) in every active Region. Apply guardrails (SCPs) to prevent it from being disabled, and review any AMIs that are currently shared publicly.;https://hub.prowler.com/check/ec2_ami_account_block_public_access;;"```hcl
resource ""aws_ec2_image_block_public_access"" ""<example_resource_name>"" {
  state = ""block-new-sharing"" # Blocks new public sharing of AMIs in the configured Region
}
```";aws ec2 enable-image-block-public-access --image-block-public-access-state block-new-sharing;"1. In the AWS console, select the target Region in the top-right.
2. Go to EC2 > AMIs.
3. In the AMIs page, choose Block public access for AMIs (or EC2 Dashboard > Account attributes > Data protection and security).
4. Choose Manage and enable Block public access.
5. Save changes.";;internet-exposed;;;;5.41.0;https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/sharingamis-intro.html | https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/image-block-public-access.html;;
profile: None;2026-09-05 17:57:02.969483;227842501528;;;;;;prowler-aws-ec2_ami_account_block_public_access-227842501528-eu-north-1-227842501528;aws;ec2_ami_account_block_public_access;AMI block public access is enabled at the account level;Software and Configuration Checks/AWS Security Best Practices | Effects/Data Exposure;PASS;AMI Block Public Access is enabled in eu-north-1.;False;ec2;;medium;Other;arn:aws:ec2:eu-north-1:227842501528:account;227842501528;;;aws;eu-north-1;AMI block public access configuration is assessed to see whether public sharing of AMIs is blocked in the account and Region. When enabled (`block-new-sharing`), no AMI in the Region can be made public regardless of individual image permissions.;Without blocking public access, AMIs could be accidentally or maliciously shared publicly, exposing baked-in secrets, source code, and infrastructure details to unauthorized actors.;;Enable AMI block public access (`block-new-sharing`) in every active Region. Apply guardrails (SCPs) to prevent it from being disabled, and review any AMIs that are currently shared publicly.;https://hub.prowler.com/check/ec2_ami_account_block_public_access;;"```hcl
resource ""aws_ec2_image_block_public_access"" ""<example_resource_name>"" {
  state = ""block-new-sharing"" # Blocks new public sharing of AMIs in the configured Region
}
```";aws ec2 enable-image-block-public-access --image-block-public-access-state block-new-sharing;"1. In the AWS console, select the target Region in the top-right.
2. Go to EC2 > AMIs.
3. In the AMIs page, choose Block public access for AMIs (or EC2 Dashboard > Account attributes > Data protection and security).
4. Choose Manage and enable Block public access.
5. Save changes.";;internet-exposed;;;;5.41.0;https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/sharingamis-intro.html | https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/image-block-public-access.html;;
